cohort_id,market,segment,product,benefit_tier,accounts,avg_monthly_balance,total_balance,current_apy,competitor_apy,rate_gap_bps,deposit_growth_pct,direct_deposit_rate,rewards_utilization,debit_txn_per_account,complaint_rate_per_10k,data_quality_score,risk_control_score,rule_complexity_score,attrition_risk_score,balances_at_risk,priority_score,recommended_decision,primary_owner
DPR045,Florida growth market,Debit-engaged households,Savings,Level 2,6679,18685,124797115,0.01,0.81,80,-1.6,94.0,17.2,19.7,1.4,70.8,78.0,81.4,25.3,8822590,78.0,Fix measurement gap,Deposit product
DPR029,Texas expansion market,Savings rate shoppers,Debit rewards,Level 4,1672,101140,169106080,0.01,1.24,123,0.1,52.0,58.5,21.6,2.2,89.3,85.0,75.6,25.2,7812377,77.0,Monitor in monthly review,Servicing enablement
DPR026,Digital national,Emerging affluent,Money market,Level 2,10533,21151,222783483,2.18,2.85,67,-0.9,53.3,22.3,13.1,2.6,71.2,86.4,58.2,27.0,20974423,76.6,Fix measurement gap,Distribution
DPR011,Texas expansion market,Digital-first households,Relationship checking,Level 4,9657,97744,943913808,0.01,0.66,65,-2.8,37.8,44.4,16.8,2.0,76.9,87.5,57.9,26.0,55125794,74.8,Run direct deposit prompt,Technology
DPR019,Florida growth market,Debit-engaged households,Savings,Level 3,9598,30916,296731768,0.01,0.54,53,4.5,44.9,36.4,13.3,1.7,76.0,80.9,69.3,31.1,30231857,74.7,Launch reward nudge,Pricing analytics
DPR047,Mid-Atlantic metro,Digital-first households,Savings,Level 2,8503,22691,192941573,0.16,0.96,79,4.3,71.3,47.4,16.6,2.0,75.9,88.4,45.5,24.2,13052271,73.0,Monitor in monthly review,Deposit product
DPR043,Texas expansion market,Early-tenure checking,Everyday checking,Premier,11021,237754,2620286834,0.39,0.88,49,7.7,61.3,57.4,23.6,2.1,80.0,80.1,53.4,22.1,189341160,72.9,Monitor in monthly review,Risk and compliance
DPR014,Southeast metro,Debit-engaged households,Relationship checking,Level 4,5082,78164,397229448,0.01,0.76,75,0.6,64.1,53.5,16.8,3.6,93.8,82.8,72.1,26.8,31141695,72.2,Monitor in monthly review,Risk and compliance
DPR044,Southeast metro,Premier relationship,Certificate renewal,Level 3,2913,57546,167631498,3.92,4.78,87,5.7,80.1,74.7,11.9,1.1,84.7,69.0,62.8,22.2,8754152,71.3,Monitor in monthly review,Risk and compliance
DPR023,Florida growth market,Small business owners,Everyday checking,Premier,11795,208507,2459340065,0.01,0.42,41,0.9,36.7,41.8,19.7,2.7,97.6,88.2,64.0,27.6,172991898,70.2,Launch reward nudge,Risk and compliance
DPR030,Digital national,Small business owners,Debit rewards,Level 3,2996,22674,67931304,0.02,0.58,56,-1.6,59.1,7.9,19.6,1.4,76.7,81.4,53.8,20.6,3701460,69.5,Launch reward nudge,Servicing enablement
DPR038,Mid-Atlantic metro,Emerging affluent,Certificate renewal,Level 3,1436,37809,54293724,4.02,4.92,89,4.8,37.1,58.3,21.5,1.2,78.1,91.1,78.9,21.1,2493621,67.9,Run direct deposit prompt,Rewards platform
DPR010,Florida growth market,Emerging affluent,Debit rewards,Level 2,8618,15425,132932650,0.01,0.46,45,1.1,70.5,33.6,9.8,2.7,89.3,71.3,50.1,25.2,7857840,67.4,Launch reward nudge,Pricing analytics
